estado,sigla,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,MMNCasos,MMNObitos
Brasil,BR,2020-02-25,9,210147125,0,0,0,0,,,
Brasil,BR,2020-02-26,9,210147125,1,1,0,0,,,
Brasil,BR,2020-02-27,9,210147125,1,0,0,0,,,
Brasil,BR,2020-02-28,9,210147125,1,0,0,0,,,
Brasil,BR,2020-02-29,9,210147125,2,1,0,0,,,
Brasil,BR,2020-03-01,10,210147125,2,0,0,0,,,
Brasil,BR,2020-03-02,10,210147125,2,0,0,0,,,
Brasil,BR,2020-03-03,10,210147125,2,0,0,0,,,
Brasil,BR,2020-03-04,10,210147125,3,1,0,0,,,
Brasil,BR,2020-03-05,10,210147125,7,4,0,0,,,
Brasil,BR,2020-03-06,10,210147125,13,6,0,0,,,
Brasil,BR,2020-03-07,10,210147125,19,6,0,0,,,
Brasil,BR,2020-03-08,11,210147125,25,6,0,0,,,
Brasil,BR,2020-03-09,11,210147125,25,0,0,0,,,
Brasil,BR,2020-03-10,11,210147125,34,9,0,0,,1.7857142857142858,0.0
Brasil,BR,2020-03-11,11,210147125,52,18,0,0,,2.4285714285714284,0.0
Brasil,BR,2020-03-12,11,210147125,77,25,0,0,,3.642857142857143,0.0
Brasil,BR,2020-03-13,11,210147125,98,21,0,0,,5.428571428571429,0.0
Brasil,BR,2020-03-14,11,210147125,121,23,0,0,,6.928571428571429,0.0
Brasil,BR,2020-03-15,12,210147125,200,79,0,0,,8.5,0.0
Brasil,BR,2020-03-16,12,210147125,234,34,0,0,,14.142857142857142,0.0
Brasil,BR,2020-03-17,12,210147125,291,57,1,1,,16.571428571428573,0.0
Brasil,BR,2020-03-18,12,210147125,428,137,4,3,,20.642857142857142,0.07142857142857142
Brasil,BR,2020-03-19,12,210147125,621,193,6,2,,30.357142857142858,0.2857142857142857
Brasil,BR,2020-03-20,12,210147125,904,283,11,5,,43.857142857142854,0.42857142857142855
Brasil,BR,2020-03-21,12,210147125,1128,224,18,7,,63.642857142857146,0.7857142857142857
Brasil,BR,2020-03-22,13,210147125,1546,418,25,7,,79.21428571428571,1.2857142857142858
Brasil,BR,2020-03-23,13,210147125,1891,345,34,9,,108.64285714285714,1.7857142857142858
Brasil,BR,2020-03-24,13,210147125,2201,310,46,12,,133.28571428571428,2.4285714285714284
Brasil,BR,2020-03-25,13,210147125,2433,232,57,11,,154.78571428571428,3.2857142857142856
Brasil,BR,2020-03-26,13,210147125,2915,482,77,20,,170.07142857142858,4.071428571428571
Brasil,BR,2020-03-27,13,210147125,3417,502,92,15,,202.71428571428572,5.5
Brasil,BR,2020-03-28,13,210147125,3903,486,114,22,,237.07142857142858,6.571428571428571
Brasil,BR,2020-03-29,14,210147125,4256,353,136,22,,270.14285714285717,8.142857142857142
Brasil,BR,2020-03-30,14,210147125,4579,323,159,23,,289.7142857142857,9.714285714285714
Brasil,BR,2020-03-31,14,210147125,5717,1138,201,42,,310.35714285714283,11.357142857142858
Brasil,BR,2020-04-01,14,210147125,6834,1117,241,40,,387.57142857142856,14.285714285714286
Brasil,BR,2020-04-02,14,210147125,7910,1076,299,58,,457.57142857142856,16.928571428571427
Brasil,BR,2020-04-03,14,210147125,9056,1146,359,60,,520.6428571428571,20.928571428571427
Brasil,BR,2020-04-04,14,210147125,10278,1222,432,73,,582.2857142857143,24.857142857142858
